"Estado","% Ocupación"
"Ciudad de México","73.46"
"Durango","69.73"
"Guanajuato","62.52"
"México","61.24"
"Hidalgo","59.18"
"Nuevo León","58.22"
"Zacatecas","55.63"
"Coahuila de Zaragoza","53.22"
"Baja California","45.27"
"Aguascalientes","43.33"
"Sonora","43.24"
"Querétaro","40.78"
"Chihuahua","40.68"
"Nayarit","29.93"
"Oaxaca","26.42"
"Morelos","26.28"
"Michoacán de Ocampo","26.08"
"Puebla","25.93"
"Jalisco","24.99"
"San Luis Potosí","24.50"
"Guerrero","22.70"
"Tamaulipas","19.65"
"Tabasco","19.62"
"Veracruz de Ignacio de La Llave","19.55"
"Sinaloa","17.54"
"Baja California Sur","17.36"
"Tlaxcala","16.44"
"Quintana Roo","13.76"
"Colima","12.50"
"Yucatán","8.85"
"Chiapas","2.70"
"Campeche","2.11"
