"Estado","% Ocupación"
"Tabasco","76.78"
"Nayarit","73.04"
"Nuevo León","66.48"
"Puebla","62.31"
"Sonora","60.15"
"Veracruz de Ignacio de La Llave","57.14"
"Guanajuato","56.97"
"México","56.72"
"Ciudad de México","55.37"
"Coahuila de Zaragoza","55.10"
"Baja California","53.52"
"Colima","48.86"
"Sinaloa","46.03"
"Tlaxcala","45.68"
"Tamaulipas","41.94"
"Guerrero","39.69"
"Chiapas","38.08"
"Campeche","36.22"
"Hidalgo","34.69"
"Quintana Roo","33.11"
"Oaxaca","32.31"
"Durango","29.80"
"Michoacán de Ocampo","27.11"
"Aguascalientes","25.61"
"Yucatán","24.77"
"Morelos","24.28"
"Jalisco","23.89"
"Zacatecas","22.33"
"San Luis Potosí","21.58"
"Chihuahua","21.22"
"Baja California Sur","19.21"
"Querétaro","17.21"
