"Estado","% Ocupación"
"Querétaro","79.41"
"Ciudad de México","55.62"
"Zacatecas","50.00"
"Morelos","45.45"
"Yucatán","42.42"
"Chihuahua","40.81"
"México","40.66"
"Puebla","38.75"
"Durango","31.50"
"Veracruz de Ignacio de La Llave","31.25"
"Sinaloa","30.30"
"Aguascalientes","29.31"
"Tabasco","28.57"
"Quintana Roo","27.50"
"Oaxaca","25.53"
"Hidalgo","24.24"
"Nuevo León","20.51"
"San Luis Potosí","19.75"
"Tamaulipas","18.60"
"Guerrero","18.18"
"Sonora","16.17"
"Jalisco","13.21"
"Baja California","11.62"
"Michoacán de Ocampo","11.11"
"Chiapas","11.11"
"Colima","11.11"
"Guanajuato","9.78"
"Coahuila de Zaragoza","7.54"
"Campeche","5.88"
"Tlaxcala","0.00"
"Nayarit","0.00"
"Baja California Sur","0.00"
