"Estado","% Ocupación"
"Ciudad de México","63.27"
"México","49.29"
"Sinaloa","47.36"
"Baja California","45.64"
"Quintana Roo","33.04"
"Tabasco","25.40"
"Hidalgo","25.35"
"Oaxaca","25.20"
"Veracruz de Ignacio de La Llave","24.50"
"Morelos","24.13"
"Puebla","22.16"
"Guerrero","20.00"
"Tlaxcala","18.18"
"Yucatán","14.64"
"Querétaro","13.09"
"Colima","12.82"
"Chiapas","12.37"
"San Luis Potosí","11.70"
"Michoacán de Ocampo","9.77"
"Nayarit","9.52"
"Nuevo León","9.28"
"Coahuila de Zaragoza","8.10"
"Guanajuato","8.03"
"Baja California Sur","8.00"
"Aguascalientes","7.57"
"Campeche","6.89"
"Tamaulipas","6.66"
"Chihuahua","5.85"
"Durango","5.55"
"Jalisco","5.39"
"Sonora","5.09"
"Zacatecas","1.51"
