"Estado","% Ocupación"
"Querétaro","75.00"
"Ciudad de México","70.98"
"Yucatán","64.86"
"Oaxaca","59.04"
"México","55.55"
"Tlaxcala","50.00"
"Morelos","41.42"
"Puebla","39.21"
"Tabasco","37.73"
"Aguascalientes","36.20"
"Veracruz de Ignacio de La Llave","33.83"
"Nuevo León","30.92"
"San Luis Potosí","29.76"
"Tamaulipas","28.81"
"Sinaloa","26.12"
"Jalisco","25.47"
"Michoacán de Ocampo","25.00"
"Hidalgo","24.52"
"Guanajuato","23.52"
"Durango","22.36"
"Guerrero","21.92"
"Chihuahua","20.56"
"Zacatecas","20.00"
"Baja California","17.39"
"Sonora","12.50"
"Colima","11.11"
"Coahuila de Zaragoza","10.90"
"Quintana Roo","7.89"
"Chiapas","4.76"
"Baja California Sur","0.00"
"Campeche","0.00"
"Nayarit","0.00"
