"Estado","% Ocupación"
"Tlaxcala","100.00"
"Ciudad de México","91.68"
"Zacatecas","91.30"
"México","89.87"
"Nuevo León","86.78"
"Morelos","80.76"
"Puebla","79.66"
"Querétaro","75.00"
"Yucatán","70.27"
"Aguascalientes","70.00"
"Oaxaca","68.13"
"Nayarit","66.66"
"Guanajuato","66.31"
"Tabasco","65.74"
"Durango","58.92"
"Jalisco","58.12"
"San Luis Potosí","57.47"
"Veracruz de Ignacio de La Llave","53.20"
"Sinaloa","52.67"
"Baja California","52.56"
"Michoacán de Ocampo","45.45"
"Quintana Roo","43.85"
"Tamaulipas","43.63"
"Hidalgo","42.85"
"Coahuila de Zaragoza","41.50"
"Sonora","38.46"
"Guerrero","36.69"
"Chihuahua","35.59"
"Baja California Sur","33.33"
"Colima","23.80"
"Chiapas","22.05"
"Campeche","15.15"
