"Estado","% Ocupación"
"Chihuahua","51.53"
"Aguascalientes","44.97"
"Nuevo León","43.53"
"Colima","42.72"
"Ciudad de México","42.45"
"Oaxaca","32.40"
"Durango","31.68"
"México","28.77"
"Baja California","28.41"
"Querétaro","27.33"
"San Luis Potosí","26.97"
"Michoacán de Ocampo","25.95"
"Zacatecas","24.57"
"Coahuila de Zaragoza","22.94"
"Jalisco","20.65"
"Tamaulipas","18.73"
"Veracruz de Ignacio de La Llave","18.65"
"Tabasco","18.39"
"Nayarit","17.60"
"Sinaloa","17.53"
"Baja California Sur","17.50"
"Hidalgo","16.80"
"Guerrero","16.06"
"Tlaxcala","15.90"
"Yucatán","14.94"
"Sonora","13.24"
"Morelos","13.15"
"Puebla","13.12"
"Quintana Roo","12.60"
"Guanajuato","8.67"
"Chiapas","3.57"
"Campeche","0.00"
