"Estado","% Ocupación"
"Puebla","23.59"
"Quintana Roo","21.93"
"Ciudad de México","20.66"
"Chihuahua","20.36"
"Durango","19.19"
"Guerrero","19.12"
"Morelos","18.16"
"México","15.30"
"Tabasco","15.28"
"Hidalgo","14.55"
"Sinaloa","13.51"
"Aguascalientes","12.99"
"Tamaulipas","12.23"
"Veracruz de Ignacio de La Llave","12.12"
"Nuevo León","11.96"
"Querétaro","11.76"
"Baja California Sur","11.59"
"Baja California","11.58"
"Michoacán de Ocampo","11.22"
"Sonora","11.09"
"Oaxaca","11.08"
"Nayarit","9.85"
"Yucatán","8.94"
"Zacatecas","8.37"
"Jalisco","8.01"
"San Luis Potosí","6.09"
"Tlaxcala","6.08"
"Colima","6.04"
"Guanajuato","5.61"
"Coahuila de Zaragoza","5.24"
"Chiapas","5.02"
"Campeche","1.44"
