"Estado","% Ocupación"
"Nuevo León","57.19"
"Chihuahua","53.81"
"Ciudad de México","45.83"
"Nayarit","45.30"
"Durango","44.16"
"Coahuila de Zaragoza","39.29"
"Hidalgo","38.44"
"México","36.34"
"Colima","36.15"
"Oaxaca","33.64"
"Guerrero","29.59"
"Zacatecas","28.91"
"Aguascalientes","26.75"
"Michoacán de Ocampo","26.62"
"Veracruz de Ignacio de La Llave","25.61"
"Puebla","24.41"
"Sinaloa","22.39"
"Jalisco","21.36"
"Baja California","21.00"
"Querétaro","20.29"
"Baja California Sur","20.22"
"Guanajuato","19.39"
"San Luis Potosí","18.68"
"Tabasco","18.13"
"Sonora","17.46"
"Quintana Roo","16.52"
"Tlaxcala","16.17"
"Tamaulipas","14.96"
"Morelos","14.05"
"Yucatán","13.61"
"Campeche","5.70"
"Chiapas","4.59"
