"Estado","% Ocupación"
"Tlaxcala","100.00"
"Coahuila de Zaragoza","94.73"
"Ciudad de México","85.47"
"México","83.64"
"Querétaro","80.55"
"Nuevo León","77.23"
"Zacatecas","76.66"
"Durango","62.50"
"Puebla","61.53"
"Yucatán","61.11"
"Tabasco","59.52"
"Baja California","56.25"
"Guanajuato","56.00"
"Aguascalientes","53.60"
"Morelos","52.50"
"Oaxaca","50.84"
"Sonora","50.00"
"Jalisco","48.42"
"Hidalgo","45.61"
"Sinaloa","37.63"
"Veracruz de Ignacio de La Llave","31.42"
"Tamaulipas","29.88"
"San Luis Potosí","29.21"
"Chihuahua","27.58"
"Quintana Roo","25.58"
"Michoacán de Ocampo","22.85"
"Guerrero","17.97"
"Baja California Sur","9.09"
"Chiapas","7.81"
"Nayarit","0.00"
"Campeche","0.00"
"Colima","0.00"
