"Estado","% Ocupación"
"Tabasco","65.84"
"Nuevo León","60.59"
"Baja California","58.39"
"Colima","53.65"
"Puebla","51.50"
"Veracruz de Ignacio de La Llave","47.53"
"Ciudad de México","46.73"
"Sinaloa","45.01"
"Tamaulipas","44.82"
"Yucatán","42.96"
"México","42.40"
"Nayarit","41.74"
"Tlaxcala","41.17"
"Sonora","39.03"
"Guerrero","38.46"
"Coahuila de Zaragoza","38.29"
"Aguascalientes","37.06"
"San Luis Potosí","35.97"
"Quintana Roo","35.68"
"Querétaro","34.00"
"Baja California Sur","33.33"
"Zacatecas","31.14"
"Oaxaca","30.76"
"Jalisco","27.20"
"Guanajuato","24.65"
"Hidalgo","23.93"
"Chihuahua","23.68"
"Durango","23.07"
"Chiapas","21.42"
"Morelos","20.26"
"Michoacán de Ocampo","19.39"
"Campeche","16.41"
