"Estado","% Ocupación"
"Zacatecas","90.32"
"Querétaro","75.00"
"Durango","71.64"
"Ciudad de México","66.78"
"Tamaulipas","63.72"
"Tlaxcala","62.50"
"Nuevo León","60.99"
"Yucatán","60.00"
"Baja California","54.16"
"Aguascalientes","53.08"
"Veracruz de Ignacio de La Llave","50.76"
"Chihuahua","43.33"
"México","42.35"
"Puebla","40.44"
"Oaxaca","40.24"
"Jalisco","38.04"
"Morelos","38.00"
"Quintana Roo","32.81"
"Michoacán de Ocampo","32.50"
"San Luis Potosí","31.48"
"Guanajuato","30.68"
"Hidalgo","29.48"
"Sinaloa","27.65"
"Tabasco","20.89"
"Coahuila de Zaragoza","20.31"
"Sonora","18.55"
"Guerrero","17.96"
"Baja California Sur","17.94"
"Colima","16.66"
"Chiapas","10.00"
"Campeche","7.69"
"Nayarit","0.00"
