"Estado","% Ocupación"
"Ciudad de México","60.04"
"Colima","44.30"
"Oaxaca","40.54"
"México","39.55"
"Aguascalientes","37.56"
"Tlaxcala","35.60"
"Querétaro","35.25"
"Morelos","33.33"
"Yucatán","32.82"
"Nuevo León","30.88"
"Tabasco","30.55"
"San Luis Potosí","29.60"
"Michoacán de Ocampo","29.39"
"Jalisco","28.88"
"Hidalgo","28.57"
"Veracruz de Ignacio de La Llave","27.78"
"Zacatecas","26.99"
"Puebla","26.53"
"Chihuahua","24.41"
"Guanajuato","23.80"
"Durango","23.18"
"Guerrero","19.16"
"Baja California","17.47"
"Sinaloa","16.34"
"Baja California Sur","15.00"
"Nayarit","14.78"
"Tamaulipas","14.23"
"Coahuila de Zaragoza","13.05"
"Campeche","8.69"
"Sonora","8.60"
"Quintana Roo","7.75"
"Chiapas","7.71"
