"Estado","% Ocupación"
"Zacatecas","88.88"
"Querétaro","75.00"
"Tlaxcala","75.00"
"Ciudad de México","70.27"
"Yucatán","68.62"
"Nuevo León","63.70"
"Durango","61.66"
"Veracruz de Ignacio de La Llave","58.22"
"Tamaulipas","55.95"
"Baja California","54.54"
"Aguascalientes","51.76"
"Michoacán de Ocampo","44.68"
"Chihuahua","43.33"
"Puebla","41.86"
"Jalisco","39.57"
"México","37.71"
"Oaxaca","35.35"
"Sinaloa","34.73"
"Quintana Roo","32.81"
"Coahuila de Zaragoza","32.55"
"Hidalgo","30.76"
"Morelos","30.00"
"San Luis Potosí","29.82"
"Tabasco","28.76"
"Guanajuato","28.70"
"Sonora","25.92"
"Guerrero","20.56"
"Colima","16.66"
"Chiapas","9.58"
"Campeche","7.50"
"Baja California Sur","0.00"
"Nayarit","0.00"
