"Estado","% Ocupación"
"Ciudad de México","80.17"
"México","76.18"
"Nuevo León","75.21"
"Aguascalientes","64.65"
"Colima","58.88"
"Hidalgo","56.25"
"Puebla","53.04"
"Oaxaca","51.93"
"San Luis Potosí","51.88"
"Jalisco","51.62"
"Nayarit","51.45"
"Querétaro","51.03"
"Baja California","47.67"
"Tlaxcala","47.01"
"Tabasco","46.42"
"Guanajuato","46.23"
"Veracruz de Ignacio de La Llave","45.08"
"Michoacán de Ocampo","40.13"
"Morelos","40.00"
"Sinaloa","39.13"
"Zacatecas","38.95"
"Guerrero","37.79"
"Baja California Sur","37.62"
"Coahuila de Zaragoza","33.81"
"Sonora","32.63"
"Yucatán","28.63"
"Durango","28.22"
"Chihuahua","26.13"
"Tamaulipas","25.08"
"Quintana Roo","24.74"
"Chiapas","17.34"
"Campeche","6.01"
