"Estado","% Ocupación"
"Ciudad de México","63.83"
"México","63.69"
"Sonora","59.34"
"Tabasco","59.13"
"Nayarit","57.85"
"Guanajuato","57.31"
"Puebla","57.07"
"Veracruz de Ignacio de La Llave","54.12"
"Baja California","52.57"
"Nuevo León","50.24"
"Colima","48.33"
"Morelos","44.90"
"Guerrero","44.72"
"Coahuila de Zaragoza","44.46"
"Sinaloa","44.07"
"Tlaxcala","40.55"
"Chiapas","39.13"
"Hidalgo","37.18"
"Yucatán","36.33"
"Tamaulipas","34.31"
"Oaxaca","33.33"
"Campeche","32.59"
"Michoacán de Ocampo","29.25"
"Quintana Roo","24.80"
"Jalisco","23.31"
"Aguascalientes","21.82"
"Querétaro","20.83"
"Chihuahua","20.02"
"Durango","18.81"
"Zacatecas","18.30"
"Baja California Sur","17.50"
"San Luis Potosí","15.17"
