"Estado","% Ocupación"
"Puebla","23.43"
"Morelos","21.75"
"Guerrero","21.15"
"Ciudad de México","19.60"
"Chihuahua","18.90"
"Durango","18.83"
"Quintana Roo","18.36"
"Tabasco","17.37"
"México","16.62"
"Hidalgo","16.49"
"Sinaloa","13.34"
"Tamaulipas","12.88"
"Oaxaca","12.06"
"Michoacán de Ocampo","12.05"
"Aguascalientes","11.98"
"Querétaro","11.87"
"Baja California Sur","11.23"
"Nuevo León","11.19"
"Yucatán","11.13"
"Baja California","10.94"
"Sonora","10.69"
"Veracruz de Ignacio de La Llave","10.35"
"Zacatecas","10.27"
"Nayarit","9.63"
"Jalisco","7.87"
"Colima","6.50"
"Tlaxcala","6.08"
"San Luis Potosí","5.46"
"Guanajuato","4.45"
"Chiapas","3.79"
"Coahuila de Zaragoza","3.20"
"Campeche","0.89"
