"Estado","% Ocupación"
"Nayarit","66.84"
"Nuevo León","64.79"
"Colima","57.05"
"Coahuila de Zaragoza","52.28"
"Ciudad de México","45.54"
"Puebla","44.47"
"México","43.39"
"Hidalgo","43.27"
"Baja California Sur","43.02"
"Veracruz de Ignacio de La Llave","41.23"
"Tamaulipas","40.50"
"Zacatecas","40.44"
"Michoacán de Ocampo","40.27"
"Yucatán","38.89"
"Sinaloa","37.53"
"Baja California","36.66"
"Guanajuato","36.66"
"Tabasco","36.06"
"Durango","31.56"
"Quintana Roo","31.53"
"Querétaro","31.50"
"San Luis Potosí","29.98"
"Oaxaca","28.87"
"Guerrero","28.08"
"Sonora","26.60"
"Aguascalientes","25.00"
"Jalisco","24.69"
"Morelos","24.26"
"Chihuahua","22.01"
"Campeche","18.81"
"Tlaxcala","16.66"
"Chiapas","11.43"
