"Estado","% Ocupación"
"Ciudad de México","57.59"
"Aguascalientes","56.27"
"Nuevo León","52.13"
"Zacatecas","47.33"
"Chihuahua","42.85"
"Coahuila de Zaragoza","41.90"
"Baja California","40.63"
"Querétaro","40.33"
"Durango","39.31"
"México","38.50"
"San Luis Potosí","27.75"
"Oaxaca","27.48"
"Hidalgo","27.48"
"Sonora","25.92"
"Jalisco","22.46"
"Sinaloa","21.03"
"Puebla","20.50"
"Tabasco","19.85"
"Guanajuato","19.45"
"Veracruz de Ignacio de La Llave","18.68"
"Morelos","18.66"
"Michoacán de Ocampo","18.65"
"Guerrero","15.31"
"Baja California Sur","15.13"
"Tamaulipas","14.58"
"Yucatán","13.15"
"Colima","12.12"
"Nayarit","11.11"
"Tlaxcala","10.08"
"Quintana Roo","7.96"
"Campeche","0.55"
"Chiapas","0.00"
